NAME,ID,EVENT,template-id,ROLL-NO,EMAIL,Ticket Number,Ticket-ID
John Doe,1,Conference,1,KH.EN.U3CDS22042,kirankichu6151@gmail.com,RS5KORKB,SAVISHKAARA#2301_RS5KORKB.png
Alice Smith,2,Workshop,2,KH.EN.U3CDS22043,kirankichu6151@gmail.com,DN86VRUK,SAVISHKAARA#2302_DN86VRUK.png
Bob Johnson,3,Seminar,3,KH.EN.U3CDS22044,kirankichu6151@gmail.com,Z4XSAF4J,SAVISHKAARA#2303_Z4XSAF4J.png
Emma Brown,4,Exhibition,4,KH.EN.U3CDS22045,kirankichu6151@gmail.com,LPC1HD9N,SAVISHKAARA#2304_LPC1HD9N.png
John Doe,1,Conference,5,KH.EN.U3CDS22042,kirankichu6151@gmail.com,LLWELJV0,SAVISHKAARA#2301_LLWELJV0.png
Alice Smith,2,Workshop,6,KH.EN.U3CDS22043,kirankichu6151@gmail.com,048TZLZQ,SAVISHKAARA#2302_048TZLZQ.png
Bob Johnson,3,Seminar,7,KH.EN.U3CDS22044,kirankichu6151@gmail.com,CMFLGH7O,SAVISHKAARA#2303_CMFLGH7O.png
Emma Brown,4,Exhibition,8,KH.EN.U3CDS22045,kirankichu6151@gmail.com,U252IUZA,SAVISHKAARA#2304_U252IUZA.png
John Doe,1,Conference,9,KH.EN.U3CDS22042,kirankichu6151@gmail.com,RXWUBTF6,SAVISHKAARA#2301_RXWUBTF6.png
Alice Smith,2,Workshop,10,KH.EN.U3CDS22043,kirankichu6151@gmail.com,K0RH5RPJ,SAVISHKAARA#2302_K0RH5RPJ.png
Bob Johnson,3,Seminar,11,KH.EN.U3CDS22044,kirankichu6151@gmail.com,MBMWJVH1,SAVISHKAARA#2303_MBMWJVH1.png
Emma Brown,4,Exhibition,12,KH.EN.U3CDS22045,kirankichu6151@gmail.com,TLLNFE83,SAVISHKAARA#2304_TLLNFE83.png
John Doe,1,Conference,1,KH.EN.U3CDS22042,kirankichu6151@gmail.com,YD79HQ1C,SAVISHKAARA#2301_YD79HQ1C.png
Alice Smith,2,Workshop,2,KH.EN.U3CDS22043,kirankichu6151@gmail.com,ADL1HDCC,SAVISHKAARA#2302_ADL1HDCC.png
Bob Johnson,3,Seminar,3,KH.EN.U3CDS22044,kirankichu6151@gmail.com,GV6EFE6S,SAVISHKAARA#2303_GV6EFE6S.png
Emma Brown,4,Exhibition,4,KH.EN.U3CDS22045,kirankichu6151@gmail.com,69B4VHMA,SAVISHKAARA#2304_69B4VHMA.png
John Doe,1,Conference,5,KH.EN.U3CDS22042,kirankichu6151@gmail.com,4ZKZTRNC,SAVISHKAARA#2301_4ZKZTRNC.png
Alice Smith,2,Workshop,6,KH.EN.U3CDS22043,kirankichu6151@gmail.com,VZ21AP3C,SAVISHKAARA#2302_VZ21AP3C.png
Bob Johnson,3,Seminar,7,KH.EN.U3CDS22044,kirankichu6151@gmail.com,UQU680X4,SAVISHKAARA#2303_UQU680X4.png
Emma Brown,4,Exhibition,8,KH.EN.U3CDS22045,kirankichu6151@gmail.com,245CC9E1,SAVISHKAARA#2304_245CC9E1.png
John Doe,1,Conference,9,KH.EN.U3CDS22042,kirankichu6151@gmail.com,N1IFL698,SAVISHKAARA#2301_N1IFL698.png
Alice Smith,2,Workshop,10,KH.EN.U3CDS22043,kirankichu6151@gmail.com,3PLFRSUJ,SAVISHKAARA#2302_3PLFRSUJ.png
Bob Johnson,3,Seminar,11,KH.EN.U3CDS22044,kirankichu6151@gmail.com,XWB6CWVF,SAVISHKAARA#2303_XWB6CWVF.png
Emma Brown,4,Exhibition,12,KH.EN.U3CDS22045,kirankichu6151@gmail.com,01K91L94,SAVISHKAARA#2304_01K91L94.png
John Doe,1,Conference,1,KH.EN.U3CDS22042,kirankichu6151@gmail.com,8DMS9M4Y,SAVISHKAARA#2301_8DMS9M4Y.png
Alice Smith,2,Workshop,2,KH.EN.U3CDS22043,kirankichu6151@gmail.com,PC2EMTHN,SAVISHKAARA#2302_PC2EMTHN.png
Bob Johnson,3,Seminar,3,KH.EN.U3CDS22044,kirankichu6151@gmail.com,E9D8SHLL,SAVISHKAARA#2303_E9D8SHLL.png
Emma Brown,4,Exhibition,4,KH.EN.U3CDS22045,kirankichu6151@gmail.com,FA8CC3FO,SAVISHKAARA#2304_FA8CC3FO.png
John Doe,1,Conference,5,KH.EN.U3CDS22042,kirankichu6151@gmail.com,J95Z53PF,SAVISHKAARA#2301_J95Z53PF.png
